Symbol,Buy Time,Buy Price,Sell Time,Sell Price,Profit per Share,ROC (%)
RVSN,,,,,,
MBAVW,,,,,,
EURKR,,,,,,
APPF,2025-02-28 19:03:00,212.58999633789062,2025-02-28 21:00:00,214.5,1.910003662109375,0.8984447504639939
TLYS,,,,,,
EDN,,,,,,
UBER,,,,,,
NVCR,2025-02-28 14:57:00,17.899999618530273,2025-02-28 15:55:00,18.56999969482422,0.6700000762939453,3.7430172657677265
KTOS,,,,,,
AEFC,,,,,,
ZS,,,,,,
MUX,2025-02-28 14:41:00,6.715000152587891,2025-02-28 15:39:00,6.900000095367432,0.18499994277954102,2.7550251463247397
BF/A,,,,,,
FF,2025-02-28 18:15:00,4.485000133514404,2025-02-28 21:00:00,4.52,0.03499986648559528,0.7803760411077113
ALG,2025-02-28 16:41:00,174.24000549316406,2025-02-28 21:00:00,174.98,0.7399945068359273,0.42469839503360174
TEO,,,,,,
ALEC,2025-02-28 17:53:00,1.6200000047683716,2025-02-28 19:51:00,1.6649999618530273,0.04499995708465576,2.777775120506242
FREY,2025-02-28 18:22:00,1.524399995803833,2025-02-28 21:00:00,1.53,0.005600004196167019,0.3673579251890561
CMC,2025-02-28 18:05:00,48.79999923706055,2025-02-28 21:00:00,48.44,-0.35999923706054915,-0.7377033661655311
RITM^D,,,,,,
WEC,,,,,,
LSBK,,,,,,
LSF,,,,,,
ANG^B,,,,,,
IOSP,2025-02-28 18:14:00,102.76499938964844,2025-02-28 21:00:00,103.41,0.6450006103515591,0.6276461968397874
MDGL,,,,,,
MODG,2025-02-28 18:02:00,6.505000114440918,2025-02-28 21:00:00,6.53,0.02499988555908228,0.3843179879979285
FHN^C,,,,,,
GLAD,,,,,,
SSRM,,,,,,
OPHC,,,,,,
GIFI,,,,,,
KRNT,,,,,,
KIM^L,,,,,,
MVSTW,,,,,,
SEZL,,,,,,
SNEX,,,,,,
CYCN,,,,,,
SST,2025-02-28 14:33:00,0.550000011920929,2025-02-28 21:00:00,0.53,-0.02000001192092893,-3.6363657249891554
CHX,,,,,,
REBN,,,,,,
LNSR,,,,,,
KGEI,,,,,,
AQB,,,,,,
EXE,,,,,,
BBU,,,,,,
MTAL,2025-02-28 18:00:00,10.050000190734863,2025-02-28 21:00:00,10.07,0.019999809265137003,0.19900307348824636
FSM,,,,,,
UP,2025-02-28 17:16:00,1.1799999475479126,2025-02-28 18:47:00,1.1859999895095825,0.006000041961669922,0.5084781549472313
GLPI,2025-02-28 18:25:00,50.08000183105469,2025-02-28 21:00:00,50.15,0.06999816894531108,0.13977269645766088
SXT,,,,,,
CDTG,,,,,,
SRAD,2025-02-28 18:25:00,21.395000457763672,2025-02-28 20:02:00,21.6200008392334,0.22500038146972656,1.0516493416950592
BLD,,,,,,
RVMDW,,,,,,
PCG^E,,,,,,
AGFY,,,,,,
CODI^C,,,,,,
WM,2025-02-28 17:52:00,229.9550018310547,2025-02-28 21:00:00,232.7719,2.8168981689453005,1.2249779941794192
SGBX,,,,,,
WAI,,,,,,
FHN,2025-02-28 18:03:00,21.299999237060547,2025-02-28 20:13:00,21.454999923706055,0.1550006866455078,0.7277027802696686
AM,,,,,,
MCY,,,,,,
LNKB,,,,,,
MAC,,,,,,
AL,2025-02-28 18:09:00,47.029998779296875,2025-02-28 21:00:00,47.92,0.8900012207031267,1.8924117452771763
BKYI,,,,,,
KPLT,,,,,,
JACS,,,,,,
ORMP,,,,,,
CSAN,2025-02-28 16:59:00,4.829999923706055,2025-02-28 21:00:00,4.81,-0.01999992370605508,-0.41407710190415814
NHI,2025-02-28 15:34:00,70.80000305175781,2025-02-28 19:47:00,70.90499877929688,0.1049957275390625,0.14829904380414524
ARM,2025-02-28 18:09:00,129.36500549316406,2025-02-28 20:13:00,131.10000610351562,1.7350006103515625,1.3411668818297573
USA,,,,,,
IQ,,,,,,
SCE^M,,,,,,
PHG,2025-02-28 17:16:00,26.020000457763672,2025-02-28 21:00:00,26.03,0.009999542236329262,0.038430215451228655
HMST,,,,,,
UCB,,,,,,
SANW,,,,,,
RBB,,,,,,
ITIC,,,,,,
EQ,,,,,,
ICAD,2025-02-28 18:58:00,2.309999942779541,2025-02-28 21:00:00,2.41,0.10000005722045913,4.329006913313279
GTEC,2025-02-28 16:43:00,1.4600000381469727,2025-02-28 21:00:00,1.31,-0.1500000381469726,-10.273974947107
PFD,,,,,,
MFG,,,,,,
PWUPW,,,,,,
WIA,,,,,,
BOLT,,,,,,
AAMI,,,,,,
DORM,2025-02-28 18:29:00,127.06999969482422,2025-02-28 20:36:00,130.27000427246094,3.2000045776367188,2.518300610153429
EDR,2025-02-28 18:42:00,31.020000457763672,2025-02-28 21:00:00,32.59,1.5699995422363315,5.061249255537625
RAPT,2025-02-28 18:27:00,1.100000023841858,2025-02-28 21:00:00,1.14,0.03999997615814199,3.636361390105989
PEBK,,,,,,
